Epoch 1, Accuracy: 0.0135, Validation Accuracy: 0.0000
Epoch 2, Accuracy: 0.0114, Validation Accuracy: 0.0000
Epoch 3, Accuracy: 0.0145, Validation Accuracy: 0.0000
Epoch 4, Accuracy: 0.0156, Validation Accuracy: 0.0000
Epoch 5, Accuracy: 0.0125, Validation Accuracy: 0.0000
Epoch 6, Accuracy: 0.0083, Validation Accuracy: 0.0000
Epoch 7, Accuracy: 0.0125, Validation Accuracy: 0.0000
Epoch 8, Accuracy: 0.0166, Validation Accuracy: 0.0000
Epoch 9, Accuracy: 0.0145, Validation Accuracy: 0.0000
Epoch 10, Accuracy: 0.0177, Validation Accuracy: 0.0000
Epoch 11, Accuracy: 0.0093, Validation Accuracy: 0.0000
Epoch 12, Accuracy: 0.0197, Validation Accuracy: 0.0000
Epoch 13, Accuracy: 0.0104, Validation Accuracy: 0.0000
Epoch 14, Accuracy: 0.0166, Validation Accuracy: 0.0000
Epoch 15, Accuracy: 0.0145, Validation Accuracy: 0.0000
Epoch 16, Accuracy: 0.0177, Validation Accuracy: 0.0000
Epoch 17, Accuracy: 0.0114, Validation Accuracy: 0.0000
Epoch 18, Accuracy: 0.0177, Validation Accuracy: 0.0000
Epoch 19, Accuracy: 0.0125, Validation Accuracy: 0.0000
Epoch 20, Accuracy: 0.0187, Validation Accuracy: 0.0000
Epoch 21, Accuracy: 0.0166, Validation Accuracy: 0.0000
Epoch 22, Accuracy: 0.0177, Validation Accuracy: 0.0000
Epoch 23, Accuracy: 0.0166, Validation Accuracy: 0.0000
Epoch 24, Accuracy: 0.0145, Validation Accuracy: 0.0000
Epoch 25, Accuracy: 0.0083, Validation Accuracy: 0.0000
