Epoch 1, Accuracy: 0.0164, Validation Accuracy: 0.0000
Epoch 2, Accuracy: 0.0152, Validation Accuracy: 0.0000
Epoch 3, Accuracy: 0.0152, Validation Accuracy: 0.0000
Epoch 4, Accuracy: 0.0234, Validation Accuracy: 0.0000
Epoch 5, Accuracy: 0.0175, Validation Accuracy: 0.0421
Epoch 6, Accuracy: 0.0129, Validation Accuracy: 0.0421
Epoch 7, Accuracy: 0.0129, Validation Accuracy: 0.0000
Epoch 8, Accuracy: 0.0164, Validation Accuracy: 0.0000
Epoch 9, Accuracy: 0.0199, Validation Accuracy: 0.0000
Epoch 10, Accuracy: 0.0222, Validation Accuracy: 0.0000
Epoch 11, Accuracy: 0.0234, Validation Accuracy: 0.0421
Epoch 12, Accuracy: 0.0082, Validation Accuracy: 0.0421
Epoch 13, Accuracy: 0.0117, Validation Accuracy: 0.0421
Epoch 14, Accuracy: 0.0187, Validation Accuracy: 0.0000
Epoch 15, Accuracy: 0.0152, Validation Accuracy: 0.0000
Epoch 16, Accuracy: 0.0093, Validation Accuracy: 0.0000
Epoch 17, Accuracy: 0.0129, Validation Accuracy: 0.0000
Epoch 18, Accuracy: 0.0140, Validation Accuracy: 0.0000
Epoch 19, Accuracy: 0.0152, Validation Accuracy: 0.0000
Epoch 20, Accuracy: 0.0210, Validation Accuracy: 0.0421
Epoch 21, Accuracy: 0.0222, Validation Accuracy: 0.0000
Epoch 22, Accuracy: 0.0210, Validation Accuracy: 0.0000
Epoch 23, Accuracy: 0.0164, Validation Accuracy: 0.0047
Epoch 24, Accuracy: 0.0140, Validation Accuracy: 0.0000
Epoch 25, Accuracy: 0.0222, Validation Accuracy: 0.0000
