Epoch 1, Accuracy: 0.0222, Validation Accuracy: 0.0000
Epoch 2, Accuracy: 0.0129, Validation Accuracy: 0.0000
Epoch 3, Accuracy: 0.0164, Validation Accuracy: 0.0000
Epoch 4, Accuracy: 0.0187, Validation Accuracy: 0.0000
Epoch 5, Accuracy: 0.0152, Validation Accuracy: 0.0000
Epoch 6, Accuracy: 0.0152, Validation Accuracy: 0.0000
Epoch 7, Accuracy: 0.0152, Validation Accuracy: 0.0000
Epoch 8, Accuracy: 0.0140, Validation Accuracy: 0.0000
Epoch 9, Accuracy: 0.0152, Validation Accuracy: 0.0000
Epoch 10, Accuracy: 0.0164, Validation Accuracy: 0.0000
Epoch 11, Accuracy: 0.0175, Validation Accuracy: 0.0000
Epoch 12, Accuracy: 0.0199, Validation Accuracy: 0.0000
Epoch 13, Accuracy: 0.0117, Validation Accuracy: 0.0000
Epoch 14, Accuracy: 0.0152, Validation Accuracy: 0.0000
Epoch 15, Accuracy: 0.0175, Validation Accuracy: 0.0000
Epoch 16, Accuracy: 0.0187, Validation Accuracy: 0.0421
Epoch 17, Accuracy: 0.0257, Validation Accuracy: 0.0000
Epoch 18, Accuracy: 0.0199, Validation Accuracy: 0.0421
Epoch 19, Accuracy: 0.0187, Validation Accuracy: 0.0000
Epoch 20, Accuracy: 0.0117, Validation Accuracy: 0.0000
Epoch 21, Accuracy: 0.0234, Validation Accuracy: 0.0000
Epoch 22, Accuracy: 0.0129, Validation Accuracy: 0.0000
Epoch 23, Accuracy: 0.0210, Validation Accuracy: 0.0000
Epoch 24, Accuracy: 0.0117, Validation Accuracy: 0.0000
Epoch 25, Accuracy: 0.0292, Validation Accuracy: 0.0000
Epoch 26, Accuracy: 0.0175, Validation Accuracy: 0.0000
Epoch 27, Accuracy: 0.0187, Validation Accuracy: 0.0000
Epoch 28, Accuracy: 0.0140, Validation Accuracy: 0.0421
Epoch 29, Accuracy: 0.0199, Validation Accuracy: 0.0421
Epoch 30, Accuracy: 0.0152, Validation Accuracy: 0.0421
Epoch 31, Accuracy: 0.0210, Validation Accuracy: 0.0421
Epoch 32, Accuracy: 0.0140, Validation Accuracy: 0.0000
Epoch 33, Accuracy: 0.0152, Validation Accuracy: 0.0000
Epoch 34, Accuracy: 0.0152, Validation Accuracy: 0.0000
Epoch 35, Accuracy: 0.0164, Validation Accuracy: 0.0000
Epoch 36, Accuracy: 0.0234, Validation Accuracy: 0.0000
Epoch 37, Accuracy: 0.0117, Validation Accuracy: 0.0000
Epoch 38, Accuracy: 0.0175, Validation Accuracy: 0.0000
Epoch 39, Accuracy: 0.0152, Validation Accuracy: 0.0000
Epoch 40, Accuracy: 0.0199, Validation Accuracy: 0.0000
Epoch 41, Accuracy: 0.0210, Validation Accuracy: 0.0000
Epoch 42, Accuracy: 0.0070, Validation Accuracy: 0.0000
Epoch 43, Accuracy: 0.0199, Validation Accuracy: 0.0000
Epoch 44, Accuracy: 0.0222, Validation Accuracy: 0.0000
Epoch 45, Accuracy: 0.0152, Validation Accuracy: 0.0000
Epoch 46, Accuracy: 0.0129, Validation Accuracy: 0.0000
Epoch 47, Accuracy: 0.0210, Validation Accuracy: 0.0000
Epoch 48, Accuracy: 0.0105, Validation Accuracy: 0.0000
Epoch 49, Accuracy: 0.0245, Validation Accuracy: 0.0000
Epoch 50, Accuracy: 0.0164, Validation Accuracy: 0.0000
